Genus	Subfamily	Family	Accession	Phage	Genome	Genome size
Zoomievirus	Slopekvirinae	Autoscriptoviridae	MZ333135	Erwinia phage Zoomie	dsDNA	43480
Bonnellvirus	Stentvirinae	Autoscriptoviridae	MN850568	Escherichia phage altidsur	dsDNA	42197
Bonnellvirus	Stentvirinae	Autoscriptoviridae	MN850583	Escherichia phage glasur	dsDNA	42507
Waewaevirus	Stentvirinae	Autoscriptoviridae	FR751545	Pantoea phage Limezero	dsDNA	43032
Axyvirus		Autoscriptoviridae	MK962628	Achromobacter phage vB_AxyP_19-32_Axy09	dsDNA	43287
Axyvirus		Autoscriptoviridae	MK962638	Achromobacter phage vB_AxyP_19-32_Axy21	dsDNA	43049
Ayakvirus		Autoscriptoviridae	KY117485	Ralstonia phage phiAp1	dsDNA	44793
Bertilvirus		Autoscriptoviridae	MW286266	Pseudomonas phage Bertil	dsDNA	41374
Bolekvirus		Autoscriptoviridae	OM913597	Aeromonas phage vB_AspA_Bolek	dsDNA	42433
Bolekvirus		Autoscriptoviridae	OM913598	Aeromonas phage vB_AspA_Lolek	dsDNA	43136
Catalonvirus		Autoscriptoviridae	OL634959	Bacteriophage Phi NF-1	dsDNA	41596
Jiaoyazivirus		Autoscriptoviridae	AB854109	Ralstonia phage RSB3	dsDNA	44578
Linggongvirus		Autoscriptoviridae	MN497414	Vibrio phage vB_VhaP_VH-5	dsDNA	42485
Maculvirus		Autoscriptoviridae	ON864052	Vibrio phage vB_VpP_AC2	dsDNA	44270
Maculvirus		Autoscriptoviridae	MZ020222	Vibrio phage BUCT233	dsDNA	43245
Natansvirus		Autoscriptoviridae	MN844877	Sphaerotilus phage vB_SnaP-R1	dsDNA	41507
Savitribaivirus		Autoscriptoviridae	MT259468	Aeromonas phage PS	dsDNA	41082
Stubburvirus		Autoscriptoviridae	AM265639	Pseudomonas phage LKA1	dsDNA	41593
Trelivelvirus		Autoscriptoviridae	OX359471	Variovorax phage VAC_51	dsDNA	43466
Tunggulvirus		Autoscriptoviridae	FN594518	Pseudomonas phage phi-2	dsDNA	43144
Tunggulvirus		Autoscriptoviridae	MW627366	Pseudomonas phage phiGM22-3	dsDNA	42662
Daolivirus	Colwellvirinae	Autosignataviridae	MK455769	Aeromonas phage MJG	dsDNA	45057
Gutovirus	Colwellvirinae	Autosignataviridae	KJ502657	Vibrio phage Vc1	dsDNA	44541
Kaohsiungvirus	Colwellvirinae	Autosignataviridae	KF322026	Vibrio phage phi-A318	dsDNA	42544
Kaohsiungvirus	Colwellvirinae	Autosignataviridae	MK820013	Vibrio phage vB_VpaP_MGD2	dsDNA	45105
Murciavirus	Colwellvirinae	Autosignataviridae	KY626176	Marinomonas phage CPP1m	dsDNA	44245
Nerthusvirus	Colwellvirinae	Autosignataviridae	MH113814	Pseudomonas phage Achelous	dsDNA	46585
Nerthusvirus	Colwellvirinae	Autosignataviridae	MH113815	Pseudomonas phage Alpheus	dsDNA	45756
Njordvirus	Colwellvirinae	Autosignataviridae	MH113812	Pseudomonas phage Njord	dsDNA	46644
Roscoffvirus	Colwellvirinae	Autosignataviridae	MW865291	Vibrio phage 15E36.1	dsDNA	45211
Trungvirus	Colwellvirinae	Autosignataviridae	MG545917	Vibrio phage VEN	dsDNA	44603
Uliginvirus	Colwellvirinae	Autosignataviridae	MG018929	Pseudomonas phage uligo	dsDNA	47868
Acadevirus	Molineuxvirinae	Autosignataviridae	OQ729741	Proteus phage BigMira-UFV01	dsDNA	43026
Acadevirus	Molineuxvirinae	Autosignataviridae	KM819695	Proteus phage PM 85	dsDNA	43642
Axomammavirus	Molineuxvirinae	Autosignataviridae	JQ837901	Pectobacterium phage PP1	dsDNA	44400
Eracentumvirus	Molineuxvirinae	Autosignataviridae	EF160123	Erwinia phage Era103	dsDNA	45445
Eracentumvirus	Molineuxvirinae	Autosignataviridae	OK570184	Pantoea phage Nifs112	dsDNA	46202
Gansuvirus	Molineuxvirinae	Autosignataviridae	OL744215	Klebsiella phage vB_KvaP_F4M1D	dsDNA	45969
Gansuvirus	Molineuxvirinae	Autosignataviridae	OL744218	Klebsiella phage vB_KvaP_F5M1D	dsDNA	45703
Guangxivirus	Molineuxvirinae	Autosignataviridae	ON461912	Salmonella phage PST_H2	dsDNA	45455
Rodentiumvirus	Molineuxvirinae	Autosignataviridae	MG775042	Citrobacter phage vB_CroP_CrRp3	dsDNA	44349
Rodentiumvirus	Molineuxvirinae	Autosignataviridae	MH729818	Escherichia phage LL11	dsDNA	45185
Tuodvirus	Molineuxvirinae	Autosignataviridae	KM370384	Lelliottia phage phD2B	dsDNA	44366
Ulipvirus	Molineuxvirinae	Autosignataviridae	OX335382	Klebsiella phage cp4	dsDNA	43903
Ulipvirus	Molineuxvirinae	Autosignataviridae	MZ398244	Klebsiella phage IME184	dsDNA	44598
Vectrevirus	Molineuxvirinae	Autosignataviridae	KX279892	Escherichia phage AAPEc6	dsDNA	44559
Vectrevirus	Molineuxvirinae	Autosignataviridae	JN986844	Escherichia phage vB_EcoP_ACG-C91	dsDNA	43731
Zindervirus	Molineuxvirinae	Autosignataviridae	KM366097	Salmonella phage BP12B	dsDNA	43602
Zindervirus	Molineuxvirinae	Autosignataviridae	ON526839	Salmonella phage GRNsp51	dsDNA	43461
Aarhusvirus	Studiervirinae	Autotranscriptaviridae	MH059632	Dickeya phage Dagda	dsDNA	40484
Aarhusvirus	Studiervirinae	Autotranscriptaviridae	MH807813	Dickeya phage_Katbat	dsDNA	40441
Apdecimavirus	Studiervirinae	Autotranscriptaviridae	KT852574	Yersinia phage vB_YenP_AP10	dsDNA	39235
Apdecimavirus	Studiervirinae	Autotranscriptaviridae	OY978816	Klebsiella phage vB_Kpn_K12P1.1	dsDNA	39770
Armandvirus	Studiervirinae	Autotranscriptaviridae	OM716005	Aeromonas phage vB_ AhaP_PT2	dsDNA	41404
Armandvirus	Studiervirinae	Autotranscriptaviridae	MZ851152	Aeromonas phage PZL-Ah8	dsDNA	40855
Bamvirus	Studiervirinae	Autotranscriptaviridae	OW991346	Escherichia phage vB_Eco_Bam	dsDNA	40137
Benllochvirus	Studiervirinae	Autotranscriptaviridae	OR915848	Klebsiella phage vB_KpnP_cmc355D	dsDNA	40663
Benllochvirus	Studiervirinae	Autotranscriptaviridae	OX335378	Klebsiella phage cp31	dsDNA	40303
Berlinvirus	Studiervirinae	Autotranscriptaviridae	GQ468526	Escherichia phage 285P	dsDNA	39270
Berlinvirus	Studiervirinae	Autotranscriptaviridae	MK685668	Shigella phage vB_ShiP_A7	dsDNA	40058
Cankvirus	Studiervirinae	Autotranscriptaviridae	OQ622093	Pseudomonas phage 10P302A	dsDNA	41264
Caroctavirus	Studiervirinae	Autotranscriptaviridae	HG818824	Citrobacter phage CR8	dsDNA	39651
Chatterjeevirus	Studiervirinae	Autotranscriptaviridae	HQ641340	Vibrio phage ICP3	dsDNA	39162
Chatterjeevirus	Studiervirinae	Autotranscriptaviridae	FJ409640	Vibrio phage N4	dsDNA	38497
Coryciavirus	Studiervirinae	Autotranscriptaviridae	PP226939	Aeromonas phage phiA014S	dsDNA	41074
Eapunavirus	Studiervirinae	Autotranscriptaviridae	KT321314	Enterobacter phage phiEap-1	dsDNA	39133
Ebriosvirus	Studiervirinae	Autotranscriptaviridae	MG966531	Escherichia phage Ebrios	dsDNA	39752
Ebriosvirus	Studiervirinae	Autotranscriptaviridae	JX872508	Stenotrophomonas phage IME15	dsDNA	38513
Elunavirus	Studiervirinae	Autotranscriptaviridae	HQ728265	Erwinia phage vB_EamP-L1	dsDNA	39282
Elunavirus	Studiervirinae	Autotranscriptaviridae	MN450150	Pantoea phage vB_PagP-SK1	dsDNA	39938
Foetvirus	Studiervirinae	Autotranscriptaviridae	MT465573	Escherichia phage P1723	dsDNA	40282
Foetvirus	Studiervirinae	Autotranscriptaviridae	MH370477	Escherichia phage SRT7	dsDNA	39883
Ghunavirus	Studiervirinae	Autotranscriptaviridae	MZ501272	Pseudomonas phage AH05	dsDNA	40502
Ghunavirus	Studiervirinae	Autotranscriptaviridae	OR997970	Pseudomonas phage Athelas	dsDNA	40850
Gundecimvirus	Studiervirinae	Autotranscriptaviridae	OQ622254	Pseudomonas phage vB_PaeM-G11	dsDNA	40800
Helsettvirus	Studiervirinae	Autotranscriptaviridae	LT960606	Yersinia phage fPS-9	dsDNA	39034
Helsettvirus	Studiervirinae	Autotranscriptaviridae	LT961845	Yersinia phage fPS-59	dsDNA	38391
Hennigervirus	Studiervirinae	Autotranscriptaviridae	MG775258	Pseudomonas phage Henninger	dsDNA	40923
Hennigervirus	Studiervirinae	Autotranscriptaviridae	MT104465	Pseudomonas phage MR1	dsDNA	39033
Jarilovirus	Studiervirinae	Autotranscriptaviridae	MH059637	Pectobacterium phage Jarilo	dsDNA	40552
Jelgvirus	Studiervirinae	Autotranscriptaviridae	ON604651	Aeromonas phage JELG-KS1	dsDNA	40505
Kayfunavirus	Studiervirinae	Autotranscriptaviridae	ON637250	Escherichia phage 6925	dsDNA	39100
Kayfunavirus	Studiervirinae	Autotranscriptaviridae	MZ234021	Escherichia phage vB_EcoP-101118UKE1	dsDNA	40233
Maklayavirus	Studiervirinae	Autotranscriptaviridae	MK290739	Pectobacterium phage Q19	dsDNA	40227
Minipunavirus	Studiervirinae	Autotranscriptaviridae	OK499982	Morganella phage vB_MmoP_Lilpapawes	dsDNA	39168
Minipunavirus	Studiervirinae	Autotranscriptaviridae	EU652770	Morganella phage MmP1	dsDNA	38457
Ningirsuvirus	Studiervirinae	Autotranscriptaviridae	ON287378	Dickeya phage DchS19	dsDNA	39149
Ningirsuvirus	Studiervirinae	Autotranscriptaviridae	MH460459	Dickeya phage_vB_DsoP_JA10	dsDNA	40131
Pektosvirus	Studiervirinae	Autotranscriptaviridae	KY250035	Pectobacterium phage PP47	dsDNA	40995
Pektosvirus	Studiervirinae	Autotranscriptaviridae	LC216347	Pectobacterium phage PPWS4 DNA	dsDNA	39906
Pfluvirus	Studiervirinae	Autotranscriptaviridae	MH268168	Pseudomonas phage PFP1	dsDNA	40914
Pfluvirus	Studiervirinae	Autotranscriptaviridae	MH179472	Pseudomonas phage 22PfluR64PP	dsDNA	40822
Phutvirus	Studiervirinae	Autotranscriptaviridae	AB775549	Pseudomonas phage PPpW-4	dsDNA	41386
Phutvirus	Studiervirinae	Autotranscriptaviridae	OQ716796	Pseudomonas phage PSA6	dsDNA	40437
Pifdecavirus	Studiervirinae	Autotranscriptaviridae	MT094431	Pseudomonas phage BIM BV-46	dsDNA	38860
Pifdecavirus	Studiervirinae	Autotranscriptaviridae	GU583987	Pseudomonas phage phiIBB-PF7A	dsDNA	40973
Pijolavirus	Studiervirinae	Autotranscriptaviridae	OM131411	Pseudomonas phage Pf17397_F_PD1	dsDNA	40763
Pijolavirus	Studiervirinae	Autotranscriptaviridae	KY971611	Pseudomonas phage PspYZU08	dsDNA	40184
Przondovirus	Studiervirinae	Autotranscriptaviridae	MW042790	Klebsiella phage 066022	dsDNA	40243
Przondovirus	Studiervirinae	Autotranscriptaviridae	MW042806	Klebsiella phage 066046	dsDNA	39887
Rambovirus	Studiervirinae	Autotranscriptaviridae	OK042080	Yersinia phage vB_YenP_Rambo	dsDNA	40327
Rindgevirus	Studiervirinae	Autotranscriptaviridae	OQ507919	Escherichia phage vB_Ec_Tarrare	dsDNA	40953
Sarmavirus	Studiervirinae	Autotranscriptaviridae	OL856139	Rahnella phage Sarma103	dsDNA	40678
Snaubvirus	Studiervirinae	Autotranscriptaviridae	MN184885	Erwinia phage pEp_SNUABM_09	dsDNA	39848
Solymavirus	Studiervirinae	Autotranscriptaviridae	MW057854	Providencia phage PSTCR2	dsDNA	40200
Solymavirus	Studiervirinae	Autotranscriptaviridae	MW358928	Providencia phage PSTRCR_120	dsDNA	39396
Teetrevirus	Studiervirinae	Autotranscriptaviridae	MF285620	Serratia phage 2050H2	dsDNA	39216
Teetrevirus	Studiervirinae	Autotranscriptaviridae	KM253764	Yersinia phage vB_YenP_AP5	dsDNA	38646
Teseptimavirus	Studiervirinae	Autotranscriptaviridae	EU734174	Escherichia phage 13a	dsDNA	38841
Teseptimavirus	Studiervirinae	Autotranscriptaviridae	AY247822	Yersinia phage phiA1122	dsDNA	37555
Troedvirus	Studiervirinae	Autotranscriptaviridae	FR823298	Pseudomonas phage phi15	dsDNA	39562
Troedvirus	Studiervirinae	Autotranscriptaviridae	MT711887	Pseudomonas phage Stalingrad	dsDNA	40471
Unosvirus	Studiervirinae	Autotranscriptaviridae	OK094519	Pseudomonas phage PCS4	dsDNA	39191
Unosvirus	Studiervirinae	Autotranscriptaviridae	KX431888	Pseudomonas phage UNO-SLW1	dsDNA	39215
Unyawovirus	Studiervirinae	Autotranscriptaviridae	MF979561	Pectobacterium phage DU_PP_II	dsDNA	40142
Unyawovirus	Studiervirinae	Autotranscriptaviridae	ON995367	Pectobacterium phage vB_PcaP_P15_PC2B6	dsDNA	39701
Waldovirus	Studiervirinae	Autotranscriptaviridae	MT711890	Pseudomonas phage PlaquesPlease	dsDNA	41456
Waldovirus	Studiervirinae	Autotranscriptaviridae	MT711889	Pseudomonas phage Waldo5	dsDNA	41195
Warsawvirus	Studiervirinae	Autotranscriptaviridae	MT597419	Pseudomonas phage vB_PsyP_3MF5	dsDNA	41608
Wuhanvirus	Studiervirinae	Autotranscriptaviridae	MF166859	Pasteurella phage PHB01	dsDNA	37287
Wuhanvirus	Studiervirinae	Autotranscriptaviridae	MF034659	Pasteurella phage vB_PmuP_PHB02	dsDNA	38670
Yuanmingyuanvirus	Studiervirinae	Autotranscriptaviridae	OR822025	Enterobacter phage NJ2	dsDNA	39605
Kelmasvirus		Autotranscriptaviridae	AB597179	Ralstonia phage RSB2	dsDNA	40411
Piedvirus		Autotranscriptaviridae	KR153873	Delftia phage IME-DE1	dsDNA	38084
Serkorvirus		Autotranscriptaviridae	OP313111	Ralstonia phage 10RS306A	dsDNA	39742
Serkorvirus		Autotranscriptaviridae	KP343639	Ralstonia phage phiITL-1	dsDNA	38731
Stompelvirus		Autotranscriptaviridae	MF893341	Ralstonia phage RPSC1	dsDNA	39628
Alfirinvirus	Dunnvirinae		OR997969	Agrobacterium phage Alfirin	dsDNA	46051
Atuphduovirus	Dunnvirinae		MF403005	Agrobacterium phage Atu_ph02	dsDNA	45423
Cuernavacavirus	Dunnvirinae		JX483874	Rhizobium phage RHEph02	dsDNA	46486
Cuernavacavirus	Dunnvirinae		JX483879	Rhizobium phage RHEph08	dsDNA	43619
Mengvirus	Dunnvirinae		OQ540924	Nostoc phage NMeng1	dsDNA	44509
Palovirus	Dunnvirinae		MT708544	Rhizobium phage Palo	dsDNA	46322
Pasovirus	Dunnvirinae		MT708546	Rhizobium phage Paso	dsDNA	45055
Songlingvirus	Dunnvirinae		MZ462995	Stappia phage SI01	dsDNA	44247
Tepoztlanvirus	Dunnvirinae		MN988466	Rhizobium phage RHph_TM34	dsDNA	46058
Tepoztlanvirus	Dunnvirinae		MN988488	Rhizobium phage RHph_Y1_20	dsDNA	45999
Yautepecvirus	Dunnvirinae		MW960034	Rhizobium phage RHph_X3_9	dsDNA	44896
Angmobvirus	Sechaudvirinae		KC310802	Synechococcus phage S-CBP1	dsDNA	46547
Cheungvirus	Sechaudvirinae		GU071102	Cyanophage NATL1A-7	dsDNA	47741
Dishuivirus	Sechaudvirinae		OQ999402	Synechococcus phage DSL-LC07	dsDNA	45797
Igirivirus	Sechaudvirinae		MH540083	Synechococcus T7-like phage S-TIP37	dsDNA	45477
Nerivirus	Sechaudvirinae		MW015080	Synechococcus phage S-SRP01	dsDNA	45017
Poseidonvirus	Sechaudvirinae		HM559717	Synechococcus phage S-CBP4	dsDNA	41824
Qadamvirus	Sechaudvirinae		MK016662	Synechococcus phage S-B28	dsDNA	45424
Spiovirus	Sechaudvirinae		MT424636	Synechococcus phage S-SBP1	dsDNA	45519
Tangaroavirus	Sechaudvirinae		GU071104	Cyanophage NATL2A-133	dsDNA	47536
Tangaroavirus	Sechaudvirinae		HQ337022	Prochlorococcus phage P-SSP10	dsDNA	47325
Tiamatvirus	Sechaudvirinae		AY939843	Prochlorococcus phage P-SSP7	dsDNA	45176
Tritonvirus	Sechaudvirinae		GU071107	Cyanophage P-SSP2	dsDNA	45890
Tritonvirus	Sechaudvirinae		HQ332137	Prochlorococcus phage P-SSP3	dsDNA	46198
Actaeavirus			OR420743	Roseobacter phage CRP-125	dsDNA	38917
Aegirvirus			KC310805	Synechococcus phage S-CBP42	dsDNA	45218
Aequorvirus			OR420753	Pelagibacter phage HTVC041P	dsDNA	38171
Ashivirus			AP013538	uncultured phage_MedDCM-OCT-S45-C4	dsDNA	44705
Ayaqvirus			AP013544	uncultured phage_MedDCM-OCT-S45-C18	dsDNA	40564
Banchanvirus			HQ316584	Cyanophage SS120-1	dsDNA	46997
Boesrvirus			OR367448	Ralstonia phage BOESR1	dsDNA	42032
Chamilpavirus			MW980070	Rhizobium phage RHEph21	dsDNA	40454
Chosvirus			KT997847	uncultured phage_Deep1-GF2-KM23-C739	dsDNA	33961
Cyclitvirus			MG592574	Vibrio phage 1.204.O._10N.222.46.F12	dsDNA	44168
Dynamenevirus			OR420740	Roseobacter phage CRP-114	dsDNA	40413
Dynamenevirus			OR420746	Roseobacter phage CRP-227	dsDNA	39373
Foturvirus			MF278336	Alteromonas phage vB_AspP-H4/4	dsDNA	47631
Foturvirus			MW043865	Alteromonas phage vB_AmeP_R8W	dsDNA	48825
Foussvirus			AP013545	uncultured phage MedDCM-OCT-S46-C10	dsDNA	41803
Fujianvirus			MT227925	Vibrio phage phiV141	dsDNA	43313
Fussvirus			MT375523	Pelagibacter phage Eyrgjafa EXVC018P	dsDNA	38005
Fussvirus			AP013543	uncultured phage_MedDCM-OCT-S30-C28	dsDNA	37553
Gajwadongvirus			KJ749827	Escherichia phage ECBP5	dsDNA	45403
Gajwadongvirus			MT104467	Pseudomonas phage MR4	dsDNA	44816
